交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260410,IC2604,1,中信期货(代客),14171,-533,中信期货(代客),8631,1280,中信期货(代客),11674,1073
20260410,IC2604,2,国泰君安(代客),11541,-118,国泰君安(代客),7434,334,国泰君安(代客),7292,581
20260410,IC2604,3,海通期货(代客),5161,-534,海通期货(代客),3566,112,海通期货(代客),3925,207
20260410,IC2604,4,东证期货(代客),3137,82,国信期货(代客),2125,-260,华泰期货(代客),2907,345
20260410,IC2604,5,国信期货(代客),2762,-230,东证期货(代客),2108,273,东证期货(代客),1919,344
20260410,IC2604,6,华闻期货(代客),2092,-170,银河期货(代客),1393,44,国信期货(代客),1443,-358
20260410,IC2604,7,中泰期货(代客),1802,-196,摩根大通(代客),1354,-500,银河期货(代客),1249,-24
20260410,IC2604,8,华泰期货(代客),1717,-6,中信建投(代客),1088,-36,中泰期货(代客),1026,228
20260410,IC2604,9,瑞达期货(代客),1256,212,华闻期货(代客),1061,-82,光大期货(代客),973,82
20260410,IC2604,10,中银期货(代客),1254,823,华泰期货(代客),1035,-270,国投期货(代客),851,-50
20260410,IC2604,11,银河期货(代客),1246,-216,中泰期货(代客),979,232,华闻期货(代客),780,-200
20260410,IC2604,12,广发期货(代客),1079,-93,永安期货(代客),948,-55,广发期货(代客),749,20
20260410,IC2604,13,兴证期货(代客),916,-46,宏源期货(代客),885,-87,中金财富(代客),742,103
20260410,IC2604,14,中信建投(代客),893,222,广发期货(代客),828,-21,中银期货(代客),717,-1151
20260410,IC2604,15,招商期货(代客),837,-12,光大期货(代客),773,-25,华西期货(代客),708,24
20260410,IC2604,16,国投期货(代客),699,-14,宁证期货(代客),769,2,永安期货(代客),619,-66
20260410,IC2604,17,中金财富(代客),643,287,兴证期货(代客),707,103,中信建投(代客),578,49
20260410,IC2604,18,永安期货(代客),619,128,国投期货(代客),671,-31,申银万国(代客),534,-48
20260410,IC2604,19,光大期货(代客),571,-548,申银万国(代客),603,-35,瑞达期货(代客),521,176
20260410,IC2604,20,摩根大通(代客),525,-3,瑞达期货(代客),597,88,招商期货(代客),436,-148
20260410,IC2605,1,中信期货(代客),2768,299,国泰君安(代客),4012,307,中信期货(代客),2152,217
20260410,IC2605,2,海通期货(代客),2682,331,中信期货(代客),3655,117,国泰君安(代客),1658,289
20260410,IC2605,3,国泰君安(代客),1990,240,瑞银期货(代客),1331,288,海通期货(代客),1564,132
20260410,IC2605,4,东证期货(代客),1884,373,浙商期货(代客),1276,-16,中银期货(代客),1196,340
20260410,IC2605,5,光大期货(代客),479,-49,海通期货(代客),952,-78,东证期货(代客),982,285
20260410,IC2605,6,摩根大通(代客),400,-35,国联期货(代客),915,130,国信期货(代客),969,51
20260410,IC2605,7,中银期货(代客),372,7,摩根大通(代客),818,400,广发期货(代客),715,43
20260410,IC2605,8,国信期货(代客),364,43,东证期货(代客),620,161,山金期货(代客),645,103
20260410,IC2605,9,华泰期货(代客),363,-269,大地期货(代客),406,0,银河期货(代客),565,45
20260410,IC2605,10,中泰期货(代客),361,71,国信期货(代客),296,19,宏源期货(代客),522,1
20260410,IC2605,11,国投期货(代客),317,199,银河期货(代客),280,-58,招商期货(代客),488,94
20260410,IC2605,12,华闻期货(代客),315,60,中金期货(代客),269,14,兴证期货(代客),486,-9
20260410,IC2605,13,瑞银期货(代客),288,104,光大期货(代客),231,10,华泰期货(代客),480,53
20260410,IC2605,14,中金期货(代客),273,273,宝城期货(代客),210,-2,国投期货(代客),431,51
20260410,IC2605,15,银河期货(代客),267,-69,南华期货(代客),198,82,中粮期货(代客),410,0
20260410,IC2605,16,南华期货(代客),216,112,华闻期货(代客),192,-36,海证期货(代客),391,40
20260410,IC2605,17,广发期货(代客),186,5,华泰期货(代客),189,14,宝城期货(代客),383,59
20260410,IC2605,18,宏源期货(代客),155,-81,国投期货(代客),185,98,兴业期货(代客),368,84
20260410,IC2605,19,中信建投(代客),151,71,宁证期货(代客),169,1,中金财富(代客),345,45
20260410,IC2605,20,国海良时(代客),144,100,平安期货(代客),160,18,金元期货(代客),299,5
20260410,IC2606,1,中信期货(代客),34450,5544,国泰君安(代客),24011,1353,中信期货(代客),26861,1714
20260410,IC2606,2,国泰君安(代客),28602,3253,中信期货(代客),19978,1284,国泰君安(代客),23682,1895
20260410,IC2606,3,海通期货(代客),9589,935,银河期货(代客),10041,306,海通期货(代客),10185,174
20260410,IC2606,4,东证期货(代客),8254,1279,一德期货(代客),7007,42,华泰期货(代客),8474,-84
20260410,IC2606,5,中泰期货(代客),7256,917,东证期货(代客),6399,328,瑞银期货(代客),8100,-202
20260410,IC2606,6,国信期货(代客),6654,1661,华泰期货(代客),4713,760,东证期货(代客),6431,846
20260410,IC2606,7,华闻期货(代客),5284,290,海通期货(代客),3767,-237,银河期货(代客),5748,345
20260410,IC2606,8,华泰期货(代客),4904,-321,中泰期货(代客),3607,653,国投期货(代客),4398,115
20260410,IC2606,9,银河期货(代客),4223,709,永安期货(代客),3256,-98,中银期货(代客),3678,-19
20260410,IC2606,10,申银万国(代客),3557,1176,宝城期货(代客),3052,4,广发期货(代客),3469,165
20260410,IC2606,11,广发期货(代客),2958,311,国信期货(代客),3020,248,中泰期货(代客),3344,541
20260410,IC2606,12,光大期货(代客),2884,1068,中信建投(代客),2257,43,国信期货(代客),3031,350
20260410,IC2606,13,中信建投(代客),2749,630,申银万国(代客),2246,82,中金期货(代客),2888,185
20260410,IC2606,14,东方财富(代客),2357,423,华闻期货(代客),2194,107,招商期货(代客),2870,174
20260410,IC2606,15,招商期货(代客),2343,362,南华期货(代客),2176,59,摩根大通(代客),2831,-30
20260410,IC2606,16,瑞达期货(代客),2329,439,广发期货(代客),2157,221,中信建投(代客),2516,214
20260410,IC2606,17,永安期货(代客),2295,440,瑞达期货(代客),2108,440,申银万国(代客),2292,-533
20260410,IC2606,18,兴证期货(代客),2240,670,浙商期货(代客),2064,161,华闻期货(代客),2175,281
20260410,IC2606,19,南华期货(代客),1829,456,招商期货(代客),1899,-45,中金财富(代客),2081,23
20260410,IC2606,20,五矿期货(代客),1816,112,国联期货(代客),1879,-190,永安期货(代客),2061,155
20260410,IC2609,1,中信期货(代客),8488,1449,中信期货(代客),11438,555,海通期货(代客),10586,368
20260410,IC2609,2,国泰君安(代客),7107,886,国泰君安(代客),7770,257,国泰君安(代客),9906,514
20260410,IC2609,3,海通期货(代客),4337,469,一德期货(代客),4675,-661,中信期货(代客),8084,903
20260410,IC2609,4,东证期货(代客),2976,590,海通期货(代客),3031,561,华泰期货(代客),6696,-1
20260410,IC2609,5,国信期货(代客),1440,460,宝城期货(代客),2551,61,广发期货(代客),2676,50
