行业,行业名称,评分
801230.SI,综合,59.53
801710.SI,建筑材料,59.43
801960.SI,石油石化,57.08
801950.SI,煤炭,43.41
801030.SI,基础化工,41.44
801140.SI,轻工制造,40.97
801040.SI,钢铁,38.3
801970.SI,环保,36.36
801760.SI,传媒,36.21
801130.SI,纺织服饰,35.95
801890.SI,机械设备,35.57
801050.SI,有色金属,35.48
801730.SI,电力设备,34.68
801170.SI,交通运输,33.11
801880.SI,汽车,29.78
801770.SI,通信,29.72
801720.SI,建筑装饰,29.42
801210.SI,社会服务,29.28
801740.SI,国防军工,28.78
801110.SI,家用电器,28.52
801080.SI,电子,25.44
801200.SI,商贸零售,23.51
801750.SI,计算机,23.17
801180.SI,房地产,5.88
801120.SI,食品饮料,5.16
801160.SI,公用事业,0.46
801980.SI,美容护理,0.32
801780.SI,银行,-1.48
801010.SI,农林牧渔,-2.18
801790.SI,非银金融,-3.69
801150.SI,医药生物,-7.15
