date,KQ.m@CFFEX.IC
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,
2014-11-10,
2014-11-11,
2014-11-12,
2014-11-13,
2014-11-14,
2014-11-17,
2014-11-18,
2014-11-19,
2014-11-20,
2014-11-21,
2014-11-24,
2014-11-25,
2014-11-26,
2014-11-27,
2014-11-28,
2014-12-01,
2014-12-02,
2014-12-03,
2014-12-04,
2014-12-05,
2014-12-08,
2014-12-09,
2014-12-10,
2014-12-11,
2014-12-12,
2014-12-15,
2014-12-16,
2014-12-17,
2014-12-18,
2014-12-19,
2014-12-22,
2014-12-23,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-16,
2015-02-17,
2015-02-25,
2015-02-26,
2015-02-27,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,
2015-03-13,
2015-03-16,
2015-03-17,
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,CFFEX.IC1505
2015-04-17,CFFEX.IC1505
2015-04-20,CFFEX.IC1505
2015-04-21,CFFEX.IC1505
2015-04-22,CFFEX.IC1505
2015-04-23,CFFEX.IC1505
2015-04-24,CFFEX.IC1505
2015-04-27,CFFEX.IC1505
2015-04-28,CFFEX.IC1505
2015-04-29,CFFEX.IC1505
2015-04-30,CFFEX.IC1505
2015-05-04,CFFEX.IC1505
2015-05-05,CFFEX.IC1505
2015-05-06,CFFEX.IC1505
2015-05-07,CFFEX.IC1505
2015-05-08,CFFEX.IC1505
2015-05-11,CFFEX.IC1505
2015-05-12,CFFEX.IC1505
2015-05-13,CFFEX.IC1505
2015-05-14,CFFEX.IC1505
2015-05-15,CFFEX.IC1506
2015-05-18,CFFEX.IC1506
2015-05-19,CFFEX.IC1506
2015-05-20,CFFEX.IC1506
2015-05-21,CFFEX.IC1506
2015-05-22,CFFEX.IC1506
2015-05-25,CFFEX.IC1506
2015-05-26,CFFEX.IC1506
2015-05-27,CFFEX.IC1506
2015-05-28,CFFEX.IC1506
2015-05-29,CFFEX.IC1506
2015-06-01,CFFEX.IC1506
2015-06-02,CFFEX.IC1506
2015-06-03,CFFEX.IC1506
2015-06-04,CFFEX.IC1506
2015-06-05,CFFEX.IC1506
2015-06-08,CFFEX.IC1506
2015-06-09,CFFEX.IC1506
2015-06-10,CFFEX.IC1506
2015-06-11,CFFEX.IC1506
2015-06-12,CFFEX.IC1506
2015-06-15,CFFEX.IC1506
2015-06-16,CFFEX.IC1506
2015-06-17,CFFEX.IC1506
2015-06-18,CFFEX.IC1506
2015-06-19,CFFEX.IC1507
2015-06-23,CFFEX.IC1507
2015-06-24,CFFEX.IC1507
2015-06-25,CFFEX.IC1507
2015-06-26,CFFEX.IC1507
2015-06-29,CFFEX.IC1507
2015-06-30,CFFEX.IC1507
2015-07-01,CFFEX.IC1507
2015-07-02,CFFEX.IC1507
2015-07-03,CFFEX.IC1507
2015-07-06,CFFEX.IC1507
2015-07-07,CFFEX.IC1507
2015-07-08,CFFEX.IC1507
2015-07-09,CFFEX.IC1507
2015-07-10,CFFEX.IC1507
2015-07-13,CFFEX.IC1507
2015-07-14,CFFEX.IC1507
2015-07-15,CFFEX.IC1507
2015-07-16,CFFEX.IC1507
2015-07-17,CFFEX.IC1508
2015-07-20,CFFEX.IC1508
2015-07-21,CFFEX.IC1508
2015-07-22,CFFEX.IC1508
2015-07-23,CFFEX.IC1508
2015-07-24,CFFEX.IC1508
2015-07-27,CFFEX.IC1508
2015-07-28,CFFEX.IC1508
2015-07-29,CFFEX.IC1508
2015-07-30,CFFEX.IC1508
2015-07-31,CFFEX.IC1508
2015-08-03,CFFEX.IC1508
2015-08-04,CFFEX.IC1508
2015-08-05,CFFEX.IC1508
2015-08-06,CFFEX.IC1508
2015-08-07,CFFEX.IC1508
2015-08-10,CFFEX.IC1508
2015-08-11,CFFEX.IC1508
2015-08-12,CFFEX.IC1508
2015-08-13,CFFEX.IC1508
2015-08-14,CFFEX.IC1508
2015-08-17,CFFEX.IC1508
2015-08-18,CFFEX.IC1508
2015-08-19,CFFEX.IC1508
2015-08-20,CFFEX.IC1508
