datetime,KQ.m@CFFEX.IC,expire_rest_days
2016-01-06 00:00:00+08:00,CFFEX.IC1601,10
2016-01-07 00:00:00+08:00,CFFEX.IC1601,9
2016-01-08 00:00:00+08:00,CFFEX.IC1601,8
2016-01-11 00:00:00+08:00,CFFEX.IC1601,7
2016-01-12 00:00:00+08:00,CFFEX.IC1601,4
2016-01-13 00:00:00+08:00,CFFEX.IC1601,3
2016-01-14 00:00:00+08:00,CFFEX.IC1601,2
2016-01-15 00:00:00+08:00,CFFEX.IC1601,1
2016-01-18 00:00:00+08:00,CFFEX.IC1602,35
2016-01-19 00:00:00+08:00,CFFEX.IC1602,32
2016-01-20 00:00:00+08:00,CFFEX.IC1602,31
2016-01-21 00:00:00+08:00,CFFEX.IC1602,30
2016-01-22 00:00:00+08:00,CFFEX.IC1602,29
2016-01-25 00:00:00+08:00,CFFEX.IC1602,28
2016-01-26 00:00:00+08:00,CFFEX.IC1602,25
2016-01-27 00:00:00+08:00,CFFEX.IC1602,24
2016-01-28 00:00:00+08:00,CFFEX.IC1602,23
2016-01-29 00:00:00+08:00,CFFEX.IC1602,22
2016-02-01 00:00:00+08:00,CFFEX.IC1602,21
2016-02-02 00:00:00+08:00,CFFEX.IC1602,18
2016-02-03 00:00:00+08:00,CFFEX.IC1602,17
2016-02-04 00:00:00+08:00,CFFEX.IC1602,16
2016-02-05 00:00:00+08:00,CFFEX.IC1602,15
2016-02-15 00:00:00+08:00,CFFEX.IC1602,7
2016-02-16 00:00:00+08:00,CFFEX.IC1602,4
2016-02-17 00:00:00+08:00,CFFEX.IC1602,3
2016-02-18 00:00:00+08:00,CFFEX.IC1602,2
2016-02-19 00:00:00+08:00,CFFEX.IC1603,29
2016-02-22 00:00:00+08:00,CFFEX.IC1603,28
2016-02-23 00:00:00+08:00,CFFEX.IC1603,25
2016-02-24 00:00:00+08:00,CFFEX.IC1603,24
2016-02-25 00:00:00+08:00,CFFEX.IC1603,23
2016-02-26 00:00:00+08:00,CFFEX.IC1603,22
2016-02-29 00:00:00+08:00,CFFEX.IC1603,21
2016-03-01 00:00:00+08:00,CFFEX.IC1603,18
2016-03-02 00:00:00+08:00,CFFEX.IC1603,17
2016-03-03 00:00:00+08:00,CFFEX.IC1603,16
2016-03-04 00:00:00+08:00,CFFEX.IC1603,15
2016-03-07 00:00:00+08:00,CFFEX.IC1603,14
2016-03-08 00:00:00+08:00,CFFEX.IC1603,11
2016-03-09 00:00:00+08:00,CFFEX.IC1603,10
2016-03-10 00:00:00+08:00,CFFEX.IC1603,9
2016-03-11 00:00:00+08:00,CFFEX.IC1603,8
2016-03-14 00:00:00+08:00,CFFEX.IC1603,7
2016-03-15 00:00:00+08:00,CFFEX.IC1603,4
2016-03-16 00:00:00+08:00,CFFEX.IC1603,3
2016-03-17 00:00:00+08:00,CFFEX.IC1603,2
2016-03-18 00:00:00+08:00,CFFEX.IC1604,29
2016-03-21 00:00:00+08:00,CFFEX.IC1604,28
2016-03-22 00:00:00+08:00,CFFEX.IC1604,25
2016-03-23 00:00:00+08:00,CFFEX.IC1604,24
2016-03-24 00:00:00+08:00,CFFEX.IC1604,23
2016-03-25 00:00:00+08:00,CFFEX.IC1604,22
2016-03-28 00:00:00+08:00,CFFEX.IC1604,21
2016-03-29 00:00:00+08:00,CFFEX.IC1604,18
2016-03-30 00:00:00+08:00,CFFEX.IC1604,17
2016-03-31 00:00:00+08:00,CFFEX.IC1604,16
2016-04-01 00:00:00+08:00,CFFEX.IC1604,15
2016-04-05 00:00:00+08:00,CFFEX.IC1604,11
2016-04-06 00:00:00+08:00,CFFEX.IC1604,10
2016-04-07 00:00:00+08:00,CFFEX.IC1604,9
2016-04-08 00:00:00+08:00,CFFEX.IC1604,8
2016-04-11 00:00:00+08:00,CFFEX.IC1604,7
2016-04-12 00:00:00+08:00,CFFEX.IC1604,4
2016-04-13 00:00:00+08:00,CFFEX.IC1604,3
2016-04-14 00:00:00+08:00,CFFEX.IC1604,2
2016-04-15 00:00:00+08:00,CFFEX.IC1605,36
2016-04-18 00:00:00+08:00,CFFEX.IC1605,35
2016-04-19 00:00:00+08:00,CFFEX.IC1605,32
2016-04-20 00:00:00+08:00,CFFEX.IC1605,31
2016-04-21 00:00:00+08:00,CFFEX.IC1605,30
2016-04-22 00:00:00+08:00,CFFEX.IC1605,29
2016-04-25 00:00:00+08:00,CFFEX.IC1605,28
2016-04-26 00:00:00+08:00,CFFEX.IC1605,25
2016-04-27 00:00:00+08:00,CFFEX.IC1605,24
2016-04-28 00:00:00+08:00,CFFEX.IC1605,23
2016-04-29 00:00:00+08:00,CFFEX.IC1605,22
2016-05-03 00:00:00+08:00,CFFEX.IC1605,18
2016-05-04 00:00:00+08:00,CFFEX.IC1605,17
2016-05-05 00:00:00+08:00,CFFEX.IC1605,16
2016-05-06 00:00:00+08:00,CFFEX.IC1605,15
2016-05-09 00:00:00+08:00,CFFEX.IC1605,14
2016-05-10 00:00:00+08:00,CFFEX.IC1605,11
2016-05-11 00:00:00+08:00,CFFEX.IC1605,10
2016-05-12 00:00:00+08:00,CFFEX.IC1605,9
2016-05-13 00:00:00+08:00,CFFEX.IC1605,8
2016-05-16 00:00:00+08:00,CFFEX.IC1605,7
2016-05-17 00:00:00+08:00,CFFEX.IC1605,4
2016-05-18 00:00:00+08:00,CFFEX.IC1605,3
2016-05-19 00:00:00+08:00,CFFEX.IC1605,2
2016-05-20 00:00:00+08:00,CFFEX.IC1606,29
2016-05-23 00:00:00+08:00,CFFEX.IC1606,28
2016-05-24 00:00:00+08:00,CFFEX.IC1606,25
2016-05-25 00:00:00+08:00,CFFEX.IC1606,24
2016-05-26 00:00:00+08:00,CFFEX.IC1606,23
2016-05-27 00:00:00+08:00,CFFEX.IC1606,22
2016-05-30 00:00:00+08:00,CFFEX.IC1606,21
2016-05-31 00:00:00+08:00,CFFEX.IC1606,18
2016-06-01 00:00:00+08:00,CFFEX.IC1606,17
2016-06-02 00:00:00+08:00,CFFEX.IC1606,16
2016-06-03 00:00:00+08:00,CFFEX.IC1606,15
2016-06-06 00:00:00+08:00,CFFEX.IC1606,14
2016-06-07 00:00:00+08:00,CFFEX.IC1606,11
2016-06-08 00:00:00+08:00,CFFEX.IC1606,10
2016-06-13 00:00:00+08:00,CFFEX.IC1606,7
2016-06-14 00:00:00+08:00,CFFEX.IC1606,4
2016-06-15 00:00:00+08:00,CFFEX.IC1606,3
2016-06-16 00:00:00+08:00,CFFEX.IC1606,2
2016-06-17 00:00:00+08:00,CFFEX.IC1607,29
