,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
0,5547,4493,-1054,10040,-10.5,135.9,150.66,2015-04-16,IC1505,正常对冲区间
1,7996,6526,-1470,14522,-10.12,136.01,155.8,2015-04-17,IC1505,正常对冲区间
2,9575,7568,-2007,17143,-11.71,148.64,149.96,2015-04-20,IC1505,正常对冲区间
3,14429,11931,-2498,26360,-9.48,139.01,148.1,2015-04-21,IC1505,空头力量偏弱
4,12627,11060,-1567,23687,-6.62,148.76,147.3,2015-04-22,IC1505,空头力量偏弱
5,12579,10723,-1856,23302,-7.96,143.86,153.1,2015-04-23,IC1505,空头力量偏弱
6,12092,10467,-1625,22559,-7.2,144.95,154.2,2015-04-24,IC1505,空头力量偏弱
7,12705,11356,-1349,24061,-5.61,143.69,153.73,2015-04-27,IC1505,空头力量偏弱
8,13294,11870,-1424,25164,-5.66,149.06,155.75,2015-04-28,IC1505,空头力量偏弱
9,15107,12936,-2171,28043,-7.74,143.38,148.0,2015-04-29,IC1505,空头力量偏弱
10,14029,11966,-2063,25995,-7.94,143.35,149.75,2015-04-30,IC1505,空头力量偏弱
11,13788,11780,-2008,25568,-7.85,143.74,149.14,2015-05-04,IC1505,空头力量偏弱
12,13720,11972,-1748,25692,-6.8,148.98,148.21,2015-05-05,IC1505,空头力量偏弱
13,13286,11675,-1611,24961,-6.45,142.2,146.56,2015-05-06,IC1505,空头力量偏弱
14,12567,11557,-1010,24124,-4.19,139.84,147.95,2015-05-07,IC1505,空头力量偏弱
15,13634,12126,-1508,25760,-5.85,146.17,151.48,2015-05-08,IC1505,空头力量偏弱
16,13861,11192,-2669,25053,-10.65,138.19,153.99,2015-05-11,IC1505,正常对冲区间
17,12182,9728,-2454,21910,-11.2,132.29,149.24,2015-05-12,IC1505,正常对冲区间
18,11703,10194,-1509,21897,-6.89,135.76,142.33,2015-05-13,IC1505,空头力量偏弱
19,7486,6352,-1134,13838,-8.19,132.73,138.71,2015-05-14,IC1505,空头力量偏弱
20,23306,20324,-2982,43630,-6.83,147.67,147.17,2015-05-15,IC1506,空头力量偏弱
21,26296,22522,-3774,48818,-7.73,144.85,145.24,2015-05-18,IC1506,空头力量偏弱
22,26900,24128,-2772,51028,-5.43,142.36,146.89,2015-05-19,IC1506,空头力量偏弱
23,29428,25956,-3472,55384,-6.27,145.77,149.55,2015-05-20,IC1506,空头力量偏弱
24,31422,29148,-2274,60570,-3.75,143.64,147.76,2015-05-21,IC1506,空头力量偏弱
25,29991,29013,-978,59004,-1.66,146.82,144.51,2015-05-22,IC1506,空头力量偏弱
26,31509,29309,-2200,60818,-3.62,143.74,146.73,2015-05-25,IC1506,空头力量偏弱
27,32479,30884,-1595,63363,-2.52,145.9,150.44,2015-05-26,IC1506,空头力量偏弱
28,33323,34065,742,67388,1.1,147.68,147.46,2015-05-27,IC1506,多头占优
29,31946,32549,603,64495,0.93,148.08,145.81,2015-05-28,IC1506,多头占优
30,31941,32405,464,64346,0.72,143.7,149.37,2015-05-29,IC1506,多头占优
31,36895,35332,-1563,72227,-2.16,143.22,152.63,2015-06-01,IC1506,空头力量偏弱
32,36168,34001,-2167,70169,-3.09,144.82,152.8,2015-06-02,IC1506,空头力量偏弱
33,35575,33892,-1683,69467,-2.42,145.74,149.69,2015-06-03,IC1506,空头力量偏弱
34,28710,29033,323,57743,0.56,149.37,155.4,2015-06-04,IC1506,多头占优
35,28443,28123,-320,56566,-0.57,145.71,152.71,2015-06-05,IC1506,空头力量偏弱
36,25475,26603,1128,52078,2.17,142.37,152.64,2015-06-08,IC1506,多头占优
37,25861,26427,566,52288,1.08,145.61,150.99,2015-06-09,IC1506,多头占优
38,28761,28464,-297,57225,-0.52,144.55,152.07,2015-06-10,IC1506,空头力量偏弱
39,27920,27191,-729,55111,-1.32,147.6,152.02,2015-06-11,IC1506,空头力量偏弱
